StorageHostName,StorageAdminName,StorageAdminPassword,StoragePorts,StorageDomainName,StoragePools,,,,,,,
,,,,,,,,,,,,
#Configure Storage System,,,,,,,,,,,,
# Use this sheet to define settings for Storage System to be created in OneView.  ,,,,,,,,,,,,
# If the row starts with '#' it will be ignored by the script,,,,,,,,,,,,
,,,,,,,,,,,,
# For specific settings - See Definition below,,,,,,,,,,,,
,,,,,,,,,,,,
# IP address or host name,,,"# Mapping between StorageSystem Ports to SAN switches
# A string composed of multiple fields , separated by  |
# Syntax: Port_Number: VSAN""",# Domain names in the Storage,# Storage Pool Names,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
172.18.11.11,dcs,dcs,0:2:1=FC_fabric_a_Encl1|1:2:1=FC_fabric_b_Encl1|0:2:2=FC_fabric_a_Encl2|1:2:2=FC_fabric_b_Encl2,TestDomain,CPG-SSD-AO|CPG-SSD,#ThreePAR7200-4310,,,,,,
,,,,,,,,,,,,
172.18.11.12,dcs,dcs,0:2:1=FC_fabric_a_Encl1|1:2:1=FC_fabric_b_Encl1|0:2:2=FC_fabric_a_Encl2|1:2:2=FC_fabric_b_Encl2,ScaleTestingDomain,ScaleTestingDomain_CPG_4|ScaleTestingDomain_CPG_5,#ThreePAR7200-4555,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
